k_h_per_mpc,sobol_baseline_p68_k,this_method_p68_k,improvement_fraction
2.227372884750366,0.01905735775145927,0.014177610216949478,0.2560558288378743
2.233657121658325,0.019055356863562033,0.014148024276961647,0.25753034287089466
2.239943504333496,0.019050521214370564,0.014126288467821225,0.258482835778519
2.2462241649627686,0.01904688616862247,0.014099071483517012,0.25977026592705776
2.2525064945220947,0.01904100685782808,0.0140751591405071,0.26079753840745223
2.2587833404541016,0.019026562148743077,0.014071355288636813,0.2604362691151545
2.265069007873535,0.01901487845641079,0.014076655846435982,0.25970308573336714
2.271350383758545,0.01899397040485331,0.014088176574785784,0.2582816401995659
2.2776339054107666,0.01897550249243676,0.014097343829487265,0.25707665264167984
2.2839224338531494,0.018956152452058596,0.014106873431438195,0.2558155740140073
2.2902028560638428,0.018940155410458303,0.014111027486975482,0.2549677032119964
2.2964906692504883,0.018922838706366397,0.014121017327009612,0.2537579828200544
2.302771806716919,0.018893018116542804,0.014109372091327012,0.25319649807709715
2.309051275253296,0.01886290688775365,0.0140954081127187,0.252744648712132
2.315338611602783,0.01883530295629281,0.014082839303009421,0.2523168150951141
2.321627378463745,0.018820879439347758,0.014067682039867125,0.25254916566456453
2.327911853790283,0.018812722427102968,0.01405572383525655,0.2528607228581197
2.334186315536499,0.018799466443574775,0.014071479350723615,0.2514958127690415
2.340467929840088,0.018782733681177534,0.0140902387462982,0.2498302438042741
2.346756935119629,0.018766652108109395,0.014105805986379005,0.24835789009571704
2.3530445098876953,0.018752394909259153,0.014118518571447681,0.2471085085523373
2.359327554702759,0.018737957004431573,0.014138977997041113,0.24543652257835738
2.365602970123291,0.018727702263212676,0.014152739187784747,0.24428854170832537
2.3718860149383545,0.018711329201184502,0.014166420159683302,0.2428961081617595
2.378173351287842,0.018693951020453216,0.014184067756579122,0.24124826575932454
2.3844540119171143,0.018676235055804583,0.01420020789957066,0.23966431900538598
2.3907363414764404,0.018660344378283768,0.014212489432098518,0.2383586742033283
2.3970141410827637,0.01864551226333504,0.014229288079949899,0.23685185587897767
2.4032955169677734,0.018625739548586775,0.014245333554442486,0.23518024520409728
2.4095849990844727,0.018605323545165,0.014257914436352737,0.23366479482384667
2.4158716201782227,0.01859152952842509,0.014260407726271929,0.23296210220526467
2.4221606254577637,0.01857409912557957,0.014263017855073425,0.23210176931645007
2.4284400939941406,0.018554629447735494,0.014265387360171156,0.23116829682027523
2.4347174167633057,0.01854250200167993,0.014263173874553559,0.2307848275674269
